name,stores,released,rating,rating_top,ratings_count,suggestions_count,reviews_count,parent_platforms,genres
Hunters Inc,Steam,2025-07-14,0.0,0,0,227,0,PC,Action
OREBLAZE,Steam,2025-07-11,0.0,0,0,108,0,"PC, Linux","Casual, Indie, Action"
Gunforged,Steam,2025-02-17,0.0,0,0,99,0,"PC, Apple Macintosh, Linux","Indie, Action"
Brave Escape,Steam,2025-01-31,0.0,0,0,131,0,"PC, Apple Macintosh, Linux","Indie, Adventure, Action"
Sector Unknown - Prologue,Steam,2025-05-26,0.0,0,0,442,0,PC,RPG
DragonLoop: Prologue,Steam,2025-05-20,0.0,0,0,173,0,PC,"Indie, Adventure, Action, RPG"
My life with you,Steam,2025-05-29,0.0,0,0,214,0,PC,"Casual, Indie"
Lakeside Bar,Steam,2025-07-30,0.0,0,0,430,0,PC,"Casual, Indie, Simulation"
Twisted Gallery 异馆,Steam,2025-07-23,0.0,0,0,0,0,PC,"Casual, Indie, Adventure, Simulation"
Mate,Steam,2025-08-13,0.0,0,0,271,0,PC,"Indie, Adventure, Action"
Backrooms: Extractions,Steam,2025-04-30,0.0,0,1,410,1,PC,"Casual, Indie, Action"
DEADCAM | ANALOG • SURVIVAL • HORROR,Steam,2025-07-10,0.0,0,1,224,1,PC,"Indie, Adventure, Action"
AI-deal-Rays,Steam,2025-08-21,0.0,0,0,0,0,PC,Action
Another Farm Roguelike: Rebirth,Steam,2025-08-01,0.0,0,1,265,1,PC,"Strategy, Indie, Simulation"
FALLSTRUKTUR,Steam,2025-08-06,0.0,0,1,131,1,"PC, Apple Macintosh, Linux","Indie, Action"
Color-A-Cube,Steam,2025-03-27,0.0,0,1,40,1,PC,"Casual, Indie"
Sugardew Island - Your cozy farm shop,Steam,2025-03-07,0.0,0,0,310,0,PC,"Casual, Indie, Simulation"
Mistress Marigold's Home Improvement,Steam,2025-02-28,0.0,0,1,196,1,"PC, Apple Macintosh, Linux","Casual, Indie, Adventure"
Fallen / Brand New World,Steam,2025-06-24,0.0,0,0,211,0,PC,Simulation
PGA TOUR 2K25,Steam,2025-02-27,0.0,0,0,362,0,PC,"RPG, Simulation, Sports"
Ketz: Galactic Overlords,Steam,2025-05-09,0.0,0,0,215,0,PC,"Indie, Adventure, Action, RPG"
Lust's Cupid,Steam,2025-04-11,0.0,0,1,0,1,PC,"Indie, Simulation"
Deliver At All Costs Deluxe,GOG,2025-05-21,0.0,0,0,622,0,PC,
Thin Threads,Steam,2025-02-18,0.0,0,0,177,0,PC,"Indie, Simulation"
The Explorator,Steam,2025-06-07,0.0,0,0,206,0,PC,"Adventure, Action"
EYES ON THE EXAM,Steam,2025-07-08,0.0,0,0,0,0,PC,"Indie, Simulation"
Clonizer,Steam,2025-04-14,0.0,0,0,172,0,"PC, Apple Macintosh, Linux","Strategy, Indie, Simulation"
Fragments of Truth: An MCF Story Collector's Edition,Steam,2025-10-03,0.0,0,1,298,1,"PC, Apple Macintosh","Casual, Adventure"
Do Not Press The Button (Or You'll Delete The Multiverse),Steam,2025-04-16,0.0,0,1,201,1,PC,"Casual, Indie, Adventure"
EGO,Steam,2025-10-17,0.0,0,0,81,0,PC,"Casual, Indie, Adventure, Action"
The Shaman's Ark,Steam,2025-07-30,0.0,0,1,436,1,PC,"Indie, Adventure, Action, RPG"
delivery pals,Steam,2025-07-29,0.0,0,0,547,0,PC,"Massively Multiplayer, Adventure, Action"
Ys vs. Trails in the Sky: Alternative Saga,"Steam, GOG",2025-10-10,0.0,0,0,92,0,PC,"Action, RPG"
Lethal Honor - Order of the Apocalypse,"Steam, GOG",2025-10-07,0.0,0,0,546,0,PC,"Indie, Adventure, Action"
Shadowgate 2,"Steam, GOG",2025-02-13,0.0,0,0,261,0,PC,Adventure
Ra Ra BOOM,Steam,2025-08-12,0.0,0,0,535,0,PC,"Adventure, Action, RPG, Casual, Indie"
Inventorix,Steam,2025-09-01,0.0,0,0,251,0,PC,Strategy
MycoRelic,Steam,2025-09-24,0.0,0,0,215,0,PC,"Indie, Adventure, Action, RPG"
An Amazing Wizard,"Steam, GOG",2025-05-22,0.0,0,0,314,0,"PC, Apple Macintosh, Linux","Indie, Adventure, Action, RPG"
女神氪金系统,Steam,2025-04-25,0.0,0,1,401,1,PC,"Casual, Indie, Simulation"
Revenge on gold diggers,Steam,2025-06-19,0.0,0,1,0,1,,Action
Breaker of fatalism,Steam,2025-07-12,0.0,0,1,511,1,PC,"Casual, RPG, Simulation"
Pact Between Us,Steam,2025-07-25,0.0,0,0,173,1,PC,"Casual, Indie, RPG, Simulation"
Wild West Supermarket Simulator,"Steam, GOG",2025-08-06,0.0,0,0,503,0,PC,"Strategy, Simulation"
Villages & Dungeons,Steam,2025-05-19,0.0,0,1,96,1,PC,"Indie, Strategy, Adventure, RPG"
Three Legions: Erosion of the Abyss,Steam,2025-06-25,0.0,0,0,104,0,PC,Strategy
A Sexy Tour With: Riley,Steam,2025-04-11,0.0,0,0,0,0,PC,"Casual, Indie"
Antro,Steam,2025-06-27,0.0,0,1,0,1,PC,"Indie, Adventure, Action"
Shuffle Tactics,Steam,2025-06-24,0.0,0,0,238,0,PC,"Strategy, Indie, RPG"
Lusty Chapters,Steam,2025-07-25,0.0,0,1,506,1,"PC, Apple Macintosh, Linux","Casual, Adventure, RPG, Simulation"
Slut Metamorphosis,Steam,2025-07-28,0.0,0,0,0,0,"PC, Apple Macintosh, Linux","Casual, Indie"
Defender's Quest 2: Mists of Ruin,"Steam, GOG",2025-01-30,0.0,0,0,183,0,PC,"Strategy, Indie, RPG"
What Happened to Lily?,Steam,2025-07-14,0.0,0,1,0,1,PC,"Indie, Adventure"
Idle Pixel Fantasy,Steam,2025-09-22,0.0,0,0,47,0,PC,"Casual, Indie"
Vampire: The Masquerade - Bloodlines 2 - Expansion Pass,GOG,2025-10-20,0.0,0,1,253,1,PC,
Magic Pussy: Chapter 3,Steam,2025-10-18,0.0,0,1,271,1,PC,"Casual, Adventure, RPG"
The Hardest Interview 2,,2025-07-15,0.0,0,1,57,1,,Action
Bat-Rush,Steam,2025-10-08,0.0,0,1,226,1,PC,Casual
Tattoo Tycoon,"Steam, GOG, Google Play",2025-10-23,0.0,0,0,216,0,"PC, Android","Strategy, Indie, Simulation"
Courier Life Simulator,Steam,2025-10-27,0.0,0,0,0,0,PC,Simulation
