Year,Game,Genre,Developer(s),Award_Count
2003,Grand Theft Auto: Vice City,Action-adventure,Rockstar North,3.0
2004,Half-Life 2,First-person shooter,Valve,6.0
2007,Portal,Puzzle-platformer,Valve,2.0
2008,LittleBigPlanet,Puzzle-platformer,Media Molecule,2.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2013,Super Mario 3D World,Platformer,Nintendo EAD,2.0
2014,Mario Kart 8,Racing,Nintendo EAD,2.0
2015,Bloodborne,Action role-playing,FromSoftware,7.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Tetris Effect,Puzzle,Monstars Inc. and Resonair,2.0
2019,Outer Wilds,Action-adventure,Mobius Digital,6.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
1992,Street Fighter II,Fighting,Capcom,3.0
1994,Donkey Kong Country,Platformer,Rare,3.0
1995,Donkey Kong Country 2: Diddy's Kong Quest,Platformer,Rare,2.0
1996,Super Mario 64,Platformer,Nintendo EAD,2.0
1997,Final Fantasy VII,Role-playing,Square,2.0
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD,6.0
2000,Tony Hawk's Pro Skater 2,Sports,Neversoft,3.0
2002,Grand Theft Auto: Vice City,Action-adventure,Rockstar North,3.0
2003,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo EAD,2.0
2004,Halo 2,First-person shooter,Bungie,3.0
2005,Resident Evil 4,Survival horror,Capcom,8.0
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD,5.0
2007,BioShock,First-person shooter,Irrational Games,6.0
2008,Grand Theft Auto IV,Action-adventure,Rockstar North,8.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego,11.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,Mass Effect 3,Action role-playing,BioWare,2.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,10.0
