Name,Platform,Year,Genre,Publisher,NorthAmerica_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales,Multi_Platform
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.34,0.0,0.09,1.01,True
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.64,0.0,0.16,1.01,True
Oshare Majo Love and Berry: DS Collection,DS,2006,Misc,Sega,0.0,0.0,1.01,0.0,1.01,False
Prince of Persia,X360,2008,Action,Ubisoft,0.54,0.34,0.02,0.1,1.01,True
Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,False
ZombiU,WIIU,2012,Action,Ubisoft,0.52,0.36,0.05,0.08,1.01,True
Pokken Tournament,WIIU,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,False
Ford Racing 2,PS2,2003,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0,True
Breath of Fire III,PS,1997,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1.0,True
NERF N-Strike Elite,WII,2009,Shooter,Electronic Arts,0.93,0.0,0.0,0.07,1.0,False
God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1.0,False
Dead or Alive 2,PS2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1.0,True
1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0,False
Game & Watch Gallery,GB,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0,False
Excitebike 64,N64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0,False
NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0,False
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004,Misc,Sammy Corporation,0.0,0.0,1.0,0.0,1.0,False
SoulCalibur II,XB,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0.0,1.0,False
PES 2009: Pro Evolution Soccer,X360,2008,Sports,Konami Digital Entertainment,0.13,0.76,0.03,0.09,1.0,True
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0,False
Road & Track Presents: The Need for Speed,PS,1995,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0,False
NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0,True
NBA Live 97,PS,1996,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0,False
Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0,False
Rayman Origins,PS3,2011,Platform,Ubisoft,0.33,0.49,0.01,0.17,1.0,True
Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0,False
NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99,False
Just Dance 2014,X360,2013,Misc,Ubisoft,0.72,0.17,0.0,0.1,0.99,True
NCAA Football 12,X360,2011,Sports,Electronic Arts,0.94,0.0,0.0,0.06,0.99,True
The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99,False
UFC Undisputed 3,X360,2012,Action,THQ,0.72,0.2,0.0,0.08,0.99,True
Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.48,0.06,0.41,0.05,0.99,False
Haze,PS3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,0.99,False
Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99,False
The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,False
DiRT 2,PS3,2009,Racing,Codemasters,0.27,0.52,0.0,0.19,0.99,True
Guitar Hero: Aerosmith,PS3,2008,Misc,Activision,0.73,0.15,0.0,0.11,0.99,True
Shadow The Hedgehog,GC,2005,Platform,Sega,0.76,0.2,0.0,0.03,0.99,True
EyePet,PS3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.08,0.99,True
Apollo Justice: Ace Attorney,DS,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,False
Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,False
Dark Souls,X360,2011,Role-Playing,Namco Bandai Games,0.64,0.27,0.0,0.09,0.99,True
Cars: Race-O-Rama,WII,2009,Racing,THQ,0.61,0.29,0.0,0.09,0.99,True
Puzzler Collection,DS,2008,Puzzle,Ubisoft,0.16,0.78,0.0,0.04,0.99,True
Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive,0.52,0.27,0.0,0.19,0.98,False
Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,True
Littlest Pet Shop: Winter,DS,2008,Simulation,Electronic Arts,0.58,0.31,0.0,0.1,0.98,False
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98,True
FIFA Soccer 10,WII,2009,Sports,Electronic Arts,0.23,0.64,0.0,0.11,0.98,True
Tales of Graces f,PS3,2010,Role-Playing,Namco Bandai Games,0.28,0.18,0.45,0.07,0.98,False
Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.98,False
Mario Party Advance,GBA,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,False
Tetris 2,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98,False
Zoo Tycoon DS,DS,2005,Strategy,THQ,0.86,0.03,0.01,0.08,0.98,False
NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98,False
WWE SmackDown vs Raw 2008,WII,2007,Fighting,THQ,0.38,0.5,0.0,0.11,0.98,True
Dead Space 3,X360,2013,Action,Electronic Arts,0.64,0.26,0.0,0.08,0.98,True
Rocksmith 2014,PS3,2013,Misc,Ubisoft,0.53,0.24,0.05,0.16,0.98,True
